,,,,,,,,,,,
5/5/2026,,MAT,Mr/ Mde,rec/op,SPC/ IND,SITE OPALIA,AREA,SERVICE,DIRECTION,,
,,01655,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,01625,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Assurance Qualité,Direction Management Qualité,,
,,01600,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Maintenance,Direction Industrielle,,
,,01579,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Contrôle Qualité,Direction Management Qualité,,
,,01561,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Maintenance,Direction Industrielle,,
,,01553,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,01552,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,01551,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,01549,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,00530,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,01502,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,"Qualification, Validation et Metrologie",Direction Management Qualité,,
,,01493,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Maintenance,Direction Industrielle,,
,,01479,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,01476,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,01473,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Contrôle Qualité,Direction Management Qualité,,
,,01465,Male,OPALIA,SPC,KALAA,GENERAL ADMINISTRATION MANAGEMENT (G&A),Systèmes D'Information,Direction des Systèmes d'Information,,
,,01458,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,01461,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,01448,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,00300,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,00329,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Logistique,Direction de Logistique,,
,,01392,Male,OPALIA,SPC,KALAA,GENERAL ADMINISTRATION MANAGEMENT (G&A),Ressources Humaines,Direction des Ressources Humaines,,
,,01379,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,"Environnement, Hygiène et Sécurité",Direction Industrielle,,
,,01354,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,01279,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,01250,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,01311,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,"Environnement, Hygiène et Sécurité",Direction Industrielle,,
,,01355,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,01351,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,01336,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,01334,Male,OPALIA,SPC,LAC,RESEARCH AND DEVELOPMENT (R&D),Affaires Réglementaires,Direction des Affaires Réglementaires,,
,,01317,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,01319,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,01293,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,01286,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,01276,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,"Environnement, Hygiène et Sécurité",Direction Industrielle,,
,,01272,Female,OPALIA,SPC,KALAA,GENERAL ADMINISTRATION MANAGEMENT (G&A),Direction  Administrative et Financière,Direction Administrative et Financière,,
,,01253,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,01240,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Logistique,Direction de Logistique,,
,,01224,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Logistique,Direction de Logistique,,
,,00086,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Contrôle Qualité,Direction Management Qualité,,
,,01207,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Logistique,Direction de Logistique,,
,,01204,Male,OPALIA,SPC,KALAA,GENERAL ADMINISTRATION MANAGEMENT (G&A),Direction  Administrative et Financière,Direction Administrative et Financière,,
,,01198,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,01181,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Maintenance,Direction Industrielle,,
,,01160,Male,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,01135,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,01141,Female,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,01137,Female,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,01129,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Logistique,Direction de Logistique,,
,,01120,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,01105,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Logistique,Direction de Logistique,,
,,01089,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,01065,Male,OPALIA,SPC,LAC,RESEARCH AND DEVELOPMENT (R&D),Business Development,Business Development,,
,,01046,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,01045,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,01033,Male,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,01030,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Maintenance,Direction Industrielle,,
,,01010,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,01004,Female,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,00574,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Logistique,Direction de Logistique,,
,,00961,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,00957,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Maintenance,Direction Industrielle,,
,,00677,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,"Environnement, Hygiène et Sécurité",Direction Industrielle,,
,,00964,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Contrôle Qualité,Direction Management Qualité,,
,,00966,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,00954,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Contrôle Qualité,Direction Management Qualité,,
,,00851,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,"Environnement, Hygiène et Sécurité",Direction Industrielle,,
,,00927,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,"Environnement, Hygiène et Sécurité",Direction Industrielle,,
,,00902,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,00895,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Logistique,Direction de Logistique,,
,,00856,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,00859,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,00817,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,00832,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,"Environnement, Hygiène et Sécurité",Direction Industrielle,,
,,00833,Female,OPALIA,INDUSTRIAL,LAC,PRODUCTION,"Environnement, Hygiène et Sécurité",Direction Industrielle,,
,,00804,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,"Environnement, Hygiène et Sécurité",Direction Industrielle,,
,,00759,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,00712,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Logistique,Direction de Logistique,,
,,00717,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Contrôle Qualité,Direction Management Qualité,,
                                                              ,,00718,Female,OPALIA,SPC,KALAA,PRODUCTION,Logistique,Direction de Logistique,,
,,00676,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Pharmacien Responsable Technique,Pharmacien Responsable Technique,,
,,00621,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Logistique,Direction de Logistique,,
,,00514,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Logistique,Direction de Logistique,,
,,00482,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,00480,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,00469,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,00453,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,00420,Male,OPALIA,SPC,LAC,MARKETING AND SALES,Marketing And Sales,Direction National Sales and Marketing,,
,,00421,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,00419,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,00417,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,00399,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,00396,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Assurance Qualité,Direction Management Qualité,,
,,00386,Female,OPALIA,SPC,LAC,MARKETING AND SALES,Marketing And Sales,Direction National Sales and Marketing,,
,,00372,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,00361,Female,OPALIA,SPC,LAC,GENERAL ADMINISTRATION MANAGEMENT (G&A),Affaires Juridiques,Direction Générale,,
,,00327,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Logistique,Direction de Logistique,,
,,00332,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,00307,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,00304,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,00303,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Assurance Qualité,Direction Management Qualité,,
,,00112,Male,OPALIA,SPC,LAC,SALES FORCE,Sales Force,Direction National Sales and Marketing,,
,,00107,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,00075,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,00042,Female,OPALIA,SPC,KALAA,GENERAL ADMINISTRATION MANAGEMENT (G&A),Direction  Administrative et Financière,Direction Administrative et Financière,,
,,00294,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,00230,Male,OPALIA,SPC,KALAA,GENERAL ADMINISTRATION MANAGEMENT (G&A),Direction  Administrative et Financière,Direction Administrative et Financière,,
,,00221,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Contrôle Qualité,Direction Management Qualité,,
,,00210,Female,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Assurance Qualité,Direction Management Qualité,,
,,00120,Male,OPALIA,SPC,KALAA,GENERAL ADMINISTRATION MANAGEMENT (G&A),Direction  Administrative et Financière,Direction Administrative et Financière,,
,,00041,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Logistique,Direction de Logistique,,
,,00259,Male,OPALIA,SPC,LAC,MARKETING AND SALES,International Sales,Direction International Sales,,
,,00096,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,00013,Female,OPALIA,SPC,LAC,GENERAL ADMINISTRATION MANAGEMENT (G&A),Direction Générale,Direction Générale,,
,,00007,Male,OPALIA,INDUSTRIAL,KALAA,PRODUCTION,Production,Direction Industrielle,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
